node	disease
BRD2	juvenile myoclonic epilepsy
BRD4	upper respiratory tract carcinoma
ZC3H18	
AASS	familial hyperlysinemia
ACADM	medium-chain acyl-CoA dehydrogenase deficiency
ATP1B1	
ATP6V1A	
ETFA	type II glutaricaciduria
PITRM1	alzheimer's disease
PMPCA	autosomal recessive spinocerebellar ataxia-2
PMPCB	
REEP5	
REEP6	retinitis pigmentosa
RTN4	
SLC25A21	
SLC30A7	
SLC30A9	
STOM	hereditary stomatocytosis
TUBGCP2	
TUBGCP3	
YIF1A	
CSNK2A2	
CSNK2B	
DDX21	
FAM98A	
G3BP1	
G3BP2	
LARP1	
MOV10	hypertension
PABPC1	
PABPC4	
RBM28	ANE syndrome
RPL36	
RRP9	
UPF1	
GOLGA7	
ZDHHC5	
POLA1	
POLA2	
PRIM1	
PRIM2	
EIF4E2	
FKBP15	
GIGYF2	parkinson disease type 11
KIAA1033	
BCAR1	cancer
C6orf48	
EFS	
EIF4G1	
FAM221A	
IKBKB	
PRSS57	
SH2D3C	
SPECC1	juvenile myelomonocytic leukemia
ZC3H7B	
C19orf52	
TIMM10	
TIMM10B	
TIMM9	
CHD4	serous endometrial tumors
DNMT1	hereditary sensory neuropathy type IE
HDAC2	
MBD2	
MORF4L1	
MTA1	carcinoma
MTA2	carcinoma
RCOR1	
SAP30	
TP53	cancer
YY1	
ATP5L	
ATP6AP1	
CYB5B	
CYB5R3	methemoglobinemias
DCAKD	
GNB1	
GNG5	
LMAN2	
MARC1	
MOGS	type IIb congenital disorder of glycosylation
RAB10	
RAB14	
