node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAM9	ITGB1	9606.ENSP00000419446	9606.ENSP00000379350	0	0	0	0	0.120	0	0	0.662	0.690
ADAMTS1	COL6A1	9606.ENSP00000284984	9606.ENSP00000355180	0	0	0	0	0.158	0.077	0	0.314	0.421
CHPF	CHPF2	9606.ENSP00000243776	9606.ENSP00000035307	0	0	0	0.953	0.096	0	0.650	0.943	0.684
CHPF2	CHPF	9606.ENSP00000035307	9606.ENSP00000243776	0	0	0	0.953	0.096	0	0.650	0.943	0.684
COL6A1	LOX	9606.ENSP00000355180	9606.ENSP00000231004	0	0	0	0	0.373	0.234	0	0.282	0.625
COL6A1	MFGE8	9606.ENSP00000355180	9606.ENSP00000268150	0	0	0	0	0.141	0	0	0.448	0.505
COL6A1	PLOD2	9606.ENSP00000355180	9606.ENSP00000282903	0	0	0	0	0.107	0.078	0.600	0.324	0.748
COL6A1	ADAMTS1	9606.ENSP00000355180	9606.ENSP00000284984	0	0	0	0	0.158	0.077	0	0.314	0.421
COL6A1	FKBP10	9606.ENSP00000355180	9606.ENSP00000317232	0	0	0	0	0.314	0.071	0	0.268	0.493
COL6A1	ITGB1	9606.ENSP00000355180	9606.ENSP00000379350	0	0	0	0	0.089	0.061	0.900	0.270	0.929
EDEM3	ERLEC1	9606.ENSP00000318147	9606.ENSP00000185150	0	0	0	0	0.062	0.669	0	0.707	0.901
EDEM3	ERP44	9606.ENSP00000318147	9606.ENSP00000262455	0	0	0	0	0	0.669	0	0	0.669
EDEM3	UGGT2	9606.ENSP00000318147	9606.ENSP00000365938	0	0	0	0	0.147	0	0	0.490	0.546
EDEM3	HYOU1	9606.ENSP00000318147	9606.ENSP00000480150	0	0	0	0	0.048	0.669	0	0.188	0.722
EDEM3	EMC1	9606.ENSP00000318147	9606.ENSP00000420608	0	0	0	0	0	0.669	0	0.598	0.861
EDEM3	OS9	9606.ENSP00000318147	9606.ENSP00000318165	0	0	0	0	0.053	0.684	0	0.788	0.931
EMC1	EDEM3	9606.ENSP00000420608	9606.ENSP00000318147	0	0	0	0	0	0.669	0	0.598	0.861
ERLEC1	FKBP10	9606.ENSP00000185150	9606.ENSP00000317232	0	0	0	0	0.056	0	0	0.428	0.438
ERLEC1	SDF2	9606.ENSP00000185150	9606.ENSP00000247020	0	0	0	0	0.205	0.245	0	0.295	0.540
ERLEC1	NGLY1	9606.ENSP00000185150	9606.ENSP00000280700	0	0	0	0	0	0	0	0.559	0.559
ERLEC1	FOXRED2	9606.ENSP00000185150	9606.ENSP00000380401	0	0	0	0	0	0.295	0	0.518	0.645
ERLEC1	UGGT2	9606.ENSP00000185150	9606.ENSP00000365938	0	0	0	0	0.167	0.213	0	0.629	0.735
ERLEC1	EDEM3	9606.ENSP00000185150	9606.ENSP00000318147	0	0	0	0	0.062	0.669	0	0.707	0.901
ERLEC1	HYOU1	9606.ENSP00000185150	9606.ENSP00000480150	0	0	0	0	0.814	0.249	0	0.469	0.919
ERLEC1	OS9	9606.ENSP00000185150	9606.ENSP00000318165	0	0	0	0.596	0.062	0.485	0.900	0.951	0.967
ERO1LB	ERP44	9606.ENSP00000346635	9606.ENSP00000262455	0	0	0	0	0.062	0.487	0	0.708	0.848
ERO1LB	SIL1	9606.ENSP00000346635	9606.ENSP00000378294	0	0	0	0	0.063	0.212	0	0.262	0.407
ERO1LB	HYOU1	9606.ENSP00000346635	9606.ENSP00000480150	0	0	0	0	0.083	0.057	0	0.665	0.685
ERP44	PLD3	9606.ENSP00000262455	9606.ENSP00000387050	0	0	0	0	0	0.425	0	0	0.425
ERP44	HYOU1	9606.ENSP00000262455	9606.ENSP00000480150	0	0	0	0	0.064	0.171	0	0.396	0.491
ERP44	EDEM3	9606.ENSP00000262455	9606.ENSP00000318147	0	0	0	0	0	0.669	0	0	0.669
