node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AES	GOLGA2	9606.ENSP00000221561	9606.ENSP00000416097	0	0	0	0	0	0.417	0	0	0.416
AES	TLE3	9606.ENSP00000221561	9606.ENSP00000452871	0	0	0	0.918	0.088	0.195	0.600	0.693	0.698
AES	TLE1	9606.ENSP00000221561	9606.ENSP00000365682	0	0	0	0.922	0	0.488	0.900	0.772	0.949
AKAP9	GOLGA3	9606.ENSP00000348573	9606.ENSP00000204726	0	0	0	0	0.049	0	0	0.479	0.483
AKAP9	CEP135	9606.ENSP00000348573	9606.ENSP00000257287	0	0	0	0	0.062	0	0	0.598	0.607
AKAP9	PRKAR2A	9606.ENSP00000348573	9606.ENSP00000265563	0	0	0	0	0	0.686	0.900	0.139	0.970
AKAP9	PRKAR2B	9606.ENSP00000348573	9606.ENSP00000265717	0	0	0	0	0	0.745	0.900	0.464	0.985
AKAP9	GCC2	9606.ENSP00000348573	9606.ENSP00000307939	0	0	0	0	0.136	0	0	0.658	0.692
AKAP9	PRKACA	9606.ENSP00000348573	9606.ENSP00000309591	0	0	0	0	0	0.650	0	0	0.650
AKAP9	GORASP1	9606.ENSP00000348573	9606.ENSP00000313869	0	0	0	0	0	0	0	0.402	0.402
AKAP9	CDK5RAP2	9606.ENSP00000348573	9606.ENSP00000343818	0	0	0	0	0.085	0.901	0	0.911	0.991
AKAP9	GOLGB1	9606.ENSP00000348573	9606.ENSP00000377275	0	0	0	0	0.264	0	0	0.271	0.441
AKAP9	CEP350	9606.ENSP00000348573	9606.ENSP00000356579	0	0	0	0	0.108	0	0	0.439	0.479
AKAP9	NIN	9606.ENSP00000348573	9606.ENSP00000371472	0	0	0	0	0.063	0	0	0.527	0.537
AKAP9	PCNT	9606.ENSP00000348573	9606.ENSP00000352572	0	0	0	0.559	0.081	0.463	0	0.914	0.692
