node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACAD9	NDUFAF1	9606.ENSP00000312618	9606.ENSP00000260361	0	0	0	0	0.062	0.992	0.800	0.843	0.999
ACAD9	ECSIT	9606.ENSP00000312618	9606.ENSP00000270517	0	0	0	0	0.073	0.992	0.800	0.806	0.999
ACAD9	NDUFB9	9606.ENSP00000312618	9606.ENSP00000276689	0	0	0	0	0.079	0	0.600	0.335	0.733
ACAD9	BCS1L	9606.ENSP00000312618	9606.ENSP00000413908	0	0	0	0	0.117	0.117	0	0.301	0.407
BCS1L	ECSIT	9606.ENSP00000413908	9606.ENSP00000270517	0	0	0	0	0.195	0	0	0.365	0.467
BCS1L	ACAD9	9606.ENSP00000413908	9606.ENSP00000312618	0	0	0	0	0.117	0.117	0	0.301	0.407
DPY19L1	FAM134C	9606.ENSP00000308695	9606.ENSP00000309432	0	0	0	0	0	0	0	0.483	0.483
ECSIT	NDUFAF1	9606.ENSP00000270517	9606.ENSP00000260361	0	0	0	0	0.100	0.992	0.800	0.966	0.999
ECSIT	BCS1L	9606.ENSP00000270517	9606.ENSP00000413908	0	0	0	0	0.195	0	0	0.365	0.467
ECSIT	NDUFB9	9606.ENSP00000270517	9606.ENSP00000276689	0	0	0	0	0.223	0	0.600	0.201	0.730
ECSIT	ACAD9	9606.ENSP00000270517	9606.ENSP00000312618	0	0	0	0	0.073	0.992	0.800	0.806	0.999
FAM134C	DPY19L1	9606.ENSP00000309432	9606.ENSP00000308695	0	0	0	0	0	0	0	0.483	0.483
GPAA1	PIGS	9606.ENSP00000347206	9606.ENSP00000309430	0	0	0	0	0.184	0.743	0.900	0.910	0.997
GPAA1	PIGO	9606.ENSP00000347206	9606.ENSP00000367880	0	0	0	0	0.087	0.065	0.650	0.853	0.950
NDUFAF1	NDUFB9	9606.ENSP00000260361	9606.ENSP00000276689	0	0	0	0	0.173	0	0.900	0.455	0.951
NDUFAF1	ACAD9	9606.ENSP00000260361	9606.ENSP00000312618	0	0	0	0	0.062	0.992	0.800	0.843	0.999
NDUFAF1	ECSIT	9606.ENSP00000260361	9606.ENSP00000270517	0	0	0	0	0.100	0.992	0.800	0.966	0.999
NDUFB9	NDUFAF1	9606.ENSP00000276689	9606.ENSP00000260361	0	0	0	0	0.173	0	0.900	0.455	0.951
NDUFB9	ECSIT	9606.ENSP00000276689	9606.ENSP00000270517	0	0	0	0	0.223	0	0.600	0.201	0.730
NDUFB9	ACAD9	9606.ENSP00000276689	9606.ENSP00000312618	0	0	0	0	0.079	0	0.600	0.335	0.733
PIGO	PIGS	9606.ENSP00000367880	9606.ENSP00000309430	0	0	0	0	0.063	0.095	0.650	0.245	0.745
PIGO	GPAA1	9606.ENSP00000367880	9606.ENSP00000347206	0	0	0	0	0.087	0.065	0.650	0.853	0.950
PIGS	PIGO	9606.ENSP00000309430	9606.ENSP00000367880	0	0	0	0	0.063	0.095	0.650	0.245	0.745
PIGS	GPAA1	9606.ENSP00000309430	9606.ENSP00000347206	0	0	0	0	0.184	0.743	0.900	0.910	0.997
