node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATP5A1	COPS3	9606.ENSP00000381736	9606.ENSP00000268717	0	0	0	0	0.126	0.834	0	0.109	0.859
ATP5A1	YME1L1	9606.ENSP00000381736	9606.ENSP00000318480	0	0	0	0	0.112	0.847	0	0.362	0.906
ATP5A1	STOML2	9606.ENSP00000381736	9606.ENSP00000348886	0	0	0	0	0.248	0.749	0	0.241	0.844
ATP5A1	COPS5	9606.ENSP00000381736	9606.ENSP00000350512	0	0	0	0	0.172	0.838	0	0.085	0.867
ATP5A1	HSP90AB1	9606.ENSP00000381736	9606.ENSP00000360609	0	0	0	0	0.143	0.805	0	0.331	0.878
ATP5A1	PHB2	9606.ENSP00000381736	9606.ENSP00000441875	0	0	0	0	0.216	0.221	0	0.307	0.541
ATP5A1	PHB	9606.ENSP00000381736	9606.ENSP00000479488	0	0	0	0	0.170	0.451	0	0.558	0.781
COPS3	HSP90AB1	9606.ENSP00000268717	9606.ENSP00000360609	0	0	0	0	0.082	0.747	0	0	0.757
COPS3	STOML2	9606.ENSP00000268717	9606.ENSP00000348886	0	0	0	0	0.146	0.758	0	0	0.784
COPS3	ATP5A1	9606.ENSP00000268717	9606.ENSP00000381736	0	0	0	0	0.126	0.834	0	0.109	0.859
COPS3	COPS5	9606.ENSP00000268717	9606.ENSP00000350512	0	0	0	0	0.325	0.997	0.900	0.891	0.999
COPS5	COPS3	9606.ENSP00000350512	9606.ENSP00000268717	0	0	0	0	0.325	0.997	0.900	0.891	0.999
COPS5	STOML2	9606.ENSP00000350512	9606.ENSP00000348886	0	0	0	0	0.129	0.838	0	0.062	0.856
COPS5	HSP90AB1	9606.ENSP00000350512	9606.ENSP00000360609	0	0	0	0	0.076	0.761	0	0.087	0.781
COPS5	ATP5A1	9606.ENSP00000350512	9606.ENSP00000381736	0	0	0	0	0.172	0.838	0	0.085	0.867
HSP90AB1	COPS3	9606.ENSP00000360609	9606.ENSP00000268717	0	0	0	0	0.082	0.747	0	0	0.757
HSP90AB1	STOML2	9606.ENSP00000360609	9606.ENSP00000348886	0	0	0	0	0.110	0.727	0	0.134	0.771
HSP90AB1	COPS5	9606.ENSP00000360609	9606.ENSP00000350512	0	0	0	0	0.076	0.761	0	0.087	0.781
HSP90AB1	PHB	9606.ENSP00000360609	9606.ENSP00000479488	0	0	0	0	0.111	0.688	0	0.249	0.774
HSP90AB1	ATP5A1	9606.ENSP00000360609	9606.ENSP00000381736	0	0	0	0	0.143	0.805	0	0.331	0.878
PARL	YME1L1	9606.ENSP00000325421	9606.ENSP00000318480	0.042	0	0	0	0.082	0.056	0.600	0.891	0.957
PARL	PHB	9606.ENSP00000325421	9606.ENSP00000479488	0	0	0	0	0.081	0.270	0	0.370	0.541
PARL	PHB2	9606.ENSP00000325421	9606.ENSP00000441875	0	0	0	0	0.089	0.270	0	0.644	0.742
PARL	STOML2	9606.ENSP00000325421	9606.ENSP00000348886	0	0	0	0	0.110	0	0.800	0.153	0.836
