node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CSNK2A2	CSNK2B	9606.ENSP00000262506	9606.ENSP00000365042	0	0	0	0	0.152	0.974	0.800	0.818	0.999
CSNK2B	CSNK2A2	9606.ENSP00000365042	9606.ENSP00000262506	0	0	0	0	0.152	0.974	0.800	0.818	0.999
DDX21	RBM28	9606.ENSP00000346120	9606.ENSP00000223073	0	0	0	0	0.572	0.182	0	0.082	0.650
DDX21	RRP9	9606.ENSP00000346120	9606.ENSP00000232888	0	0	0	0	0.463	0	0	0.271	0.591
DDX21	PABPC1	9606.ENSP00000346120	9606.ENSP00000313007	0	0	0	0	0.234	0.179	0	0.198	0.452
DDX21	UPF1	9606.ENSP00000346120	9606.ENSP00000470142	0	0	0	0	0.070	0.147	0	0.363	0.451
FAM98A	G3BP1	9606.ENSP00000238823	9606.ENSP00000377681	0	0	0	0	0.151	0.614	0	0.202	0.715
G3BP1	FAM98A	9606.ENSP00000377681	9606.ENSP00000238823	0	0	0	0	0.151	0.614	0	0.202	0.715
G3BP1	PABPC1	9606.ENSP00000377681	9606.ENSP00000313007	0	0	0	0	0.284	0.871	0	0.832	0.983
G3BP1	LARP1	9606.ENSP00000377681	9606.ENSP00000336721	0	0	0	0	0.108	0.352	0	0.278	0.547
G3BP1	G3BP2	9606.ENSP00000377681	9606.ENSP00000352738	0	0	0	0.961	0.084	0.871	0	0.898	0.881
G3BP1	PABPC4	9606.ENSP00000377681	9606.ENSP00000361949	0	0	0	0	0.179	0.748	0	0.353	0.855
G3BP1	MOV10	9606.ENSP00000377681	9606.ENSP00000399797	0	0	0	0	0.049	0.289	0	0.335	0.511
G3BP1	UPF1	9606.ENSP00000377681	9606.ENSP00000470142	0	0	0	0	0.116	0.641	0	0.413	0.797
G3BP2	PABPC1	9606.ENSP00000352738	9606.ENSP00000313007	0	0	0	0	0.295	0.680	0	0.572	0.895
G3BP2	MOV10	9606.ENSP00000352738	9606.ENSP00000399797	0	0	0	0	0.052	0.191	0	0.289	0.408
G3BP2	PABPC4	9606.ENSP00000352738	9606.ENSP00000361949	0	0	0	0	0.202	0.283	0	0.267	0.544
G3BP2	G3BP1	9606.ENSP00000352738	9606.ENSP00000377681	0	0	0	0.961	0.084	0.871	0	0.898	0.881
LARP1	PABPC1	9606.ENSP00000336721	9606.ENSP00000313007	0	0	0	0	0.219	0.501	0	0.930	0.970
LARP1	MOV10	9606.ENSP00000336721	9606.ENSP00000399797	0	0	0	0	0.062	0.284	0	0.362	0.534
LARP1	G3BP1	9606.ENSP00000336721	9606.ENSP00000377681	0	0	0	0	0.108	0.352	0	0.278	0.547
LARP1	PABPC4	9606.ENSP00000336721	9606.ENSP00000361949	0	0	0	0	0.111	0.345	0	0.509	0.689
MOV10	PABPC1	9606.ENSP00000399797	9606.ENSP00000313007	0	0	0	0	0.078	0.156	0	0.503	0.580
MOV10	LARP1	9606.ENSP00000399797	9606.ENSP00000336721	0	0	0	0	0.062	0.284	0	0.362	0.534
MOV10	G3BP2	9606.ENSP00000399797	9606.ENSP00000352738	0	0	0	0	0.052	0.191	0	0.289	0.408
MOV10	PABPC4	9606.ENSP00000399797	9606.ENSP00000361949	0	0	0	0	0.057	0.193	0	0.415	0.516
MOV10	G3BP1	9606.ENSP00000399797	9606.ENSP00000377681	0	0	0	0	0.049	0.289	0	0.335	0.511
MOV10	UPF1	9606.ENSP00000399797	9606.ENSP00000470142	0	0	0	0.582	0	0.505	0	0.781	0.664
PABPC1	DDX21	9606.ENSP00000313007	9606.ENSP00000346120	0	0	0	0	0.234	0.179	0	0.198	0.452
PABPC1	RPL36	9606.ENSP00000313007	9606.ENSP00000464342	0	0	0	0	0.462	0	0	0.107	0.499
PABPC1	MOV10	9606.ENSP00000313007	9606.ENSP00000399797	0	0	0	0	0.078	0.156	0	0.503	0.580
PABPC1	G3BP2	9606.ENSP00000313007	9606.ENSP00000352738	0	0	0	0	0.295	0.680	0	0.572	0.895
PABPC1	LARP1	9606.ENSP00000313007	9606.ENSP00000336721	0	0	0	0	0.219	0.501	0	0.930	0.970
PABPC1	G3BP1	9606.ENSP00000313007	9606.ENSP00000377681	0	0	0	0	0.284	0.871	0	0.832	0.983
PABPC1	UPF1	9606.ENSP00000313007	9606.ENSP00000470142	0	0	0	0	0.172	0.789	0.800	0.922	0.996
PABPC4	LARP1	9606.ENSP00000361949	9606.ENSP00000336721	0	0	0	0	0.111	0.345	0	0.509	0.689
PABPC4	G3BP2	9606.ENSP00000361949	9606.ENSP00000352738	0	0	0	0	0.202	0.283	0	0.267	0.544
PABPC4	MOV10	9606.ENSP00000361949	9606.ENSP00000399797	0	0	0	0	0.057	0.193	0	0.415	0.516
PABPC4	UPF1	9606.ENSP00000361949	9606.ENSP00000470142	0	0	0	0	0.060	0.152	0	0.621	0.671
PABPC4	G3BP1	9606.ENSP00000361949	9606.ENSP00000377681	0	0	0	0	0.179	0.748	0	0.353	0.855
RBM28	DDX21	9606.ENSP00000223073	9606.ENSP00000346120	0	0	0	0	0.572	0.182	0	0.082	0.650
RBM28	RRP9	9606.ENSP00000223073	9606.ENSP00000232888	0	0	0	0	0.879	0	0.900	0	0.987
RPL36	PABPC1	9606.ENSP00000464342	9606.ENSP00000313007	0	0	0	0	0.462	0	0	0.107	0.499
RRP9	RBM28	9606.ENSP00000232888	9606.ENSP00000223073	0	0	0	0	0.879	0	0.900	0	0.987
RRP9	DDX21	9606.ENSP00000232888	9606.ENSP00000346120	0	0	0	0	0.463	0	0	0.271	0.591
UPF1	PABPC1	9606.ENSP00000470142	9606.ENSP00000313007	0	0	0	0	0.172	0.789	0.800	0.922	0.996
